country,Year,success,internationalAttack,attackType,targetTypeTitle,targetType,targetSubtype,terroristGroup,numberKilled,numberWounded
United Kingdom      ,1990,1,1,Assassinato                 ,TargetType,Negócios                 ,Desconhecido                                           ,Irish Republican Army (IRA)                       ,1,0
United Kingdom      ,1990,1,1,Assassinato                 ,TargetType,Forças Militares            ,Pessoal Militar                                ,Irish Republican Army (IRA)                       ,1,0
United Kingdom      ,1990,1,1,Assassinato                 ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Protestant extremists                             ,1,0
France              ,1990,1,0,Bombardeamento             ,TargetType,Negócios                 ,Lojistas                                            ,Corsican National Liberation Front         ,0,0
France              ,1990,1,0,Bombardeamento             ,TargetType,Negócios                 ,Lojistas                                            ,Corsican National Liberation Front         ,0,0
United Kingdom      ,1990,1,1,Assassinato                 ,TargetType,Forças Militares            ,Pessoal Militar                                ,Irish Republican Army (IRA)                       ,1,0
United Kingdom      ,1990,0,1,Bombardeamento             ,TargetType,Policia              ,Agentes da Policia                      ,Irish Republican Army (IRA)                       ,0,2
Poland              ,1990,1,1,Bombardeamento             ,TargetType,Negócios                 ,Lojistas                                            ,Desconhecido                                           ,0,0
United Kingdom      ,1990,1,1,Bombardeamento             ,TargetType,Forças Militares            ,Pessoal Militar                                ,Irish Republican Army (IRA)                       ,0,2
United Kingdom      ,1990,1,1,Bombardeamento             ,TargetType,Policia              ,Organizações Policiais                                    ,Irish Republican Army (IRA)                       ,0,1
Spain               ,1990,1,1,Bombardeamento             ,TargetType,Negócios                 ,Corporações                                       ,Basque Fatherland and Freedom (ETA)               ,0,0
United Kingdom      ,1990,0,1,Assassinato                 ,TargetType,Forças Militares            ,Pessoal Militar                                ,Irish Republican Army (IRA)                       ,0,0
Cyprus              ,1990,1,0,Assassinato                 ,TargetType,Governo                  ,Politicos                                      ,Desconhecido                                           ,0,0
France              ,1990,1,0,Reféns               ,TargetType,Negócios                 ,Turismo                                           ,Corsican National Liberation Front         ,0,0
United Kingdom      ,1990,0,1,Bombardeamento             ,TargetType,Forças Militares            ,Pessoal Militar                                ,Irish Republican Army (IRA)                       ,0,0
United Kingdom      ,1990,1,1,Bombardeamento             ,TargetType,Policia              ,Organizações Policiais                                    ,Irish Republican Army (IRA)                       ,0,0
Spain               ,1990,1,1,Bombardeamento             ,TargetType,Negócios                 ,Corporações                                       ,Basque Fatherland and Freedom (ETA)               ,0,0
United Kingdom      ,1990,0,1,Assassinato                 ,TargetType,Forças Militares            ,Forças Militares                                ,Irish Republican Army (IRA)                       ,0,0
United Kingdom      ,1990,0,1,Assassinato                 ,TargetType,Forças Militares            ,Forças Militares                                ,Irish Republican Army (IRA)                       ,0,0
United Kingdom      ,1990,1,1,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Irish Republican Army (IRA)                       ,0,1
United Kingdom      ,1990,1,1,Bombardeamento             ,TargetType,Policia              ,Organizações Policiais                                    ,Irish Republican Army (IRA)                       ,0,0
United Kingdom      ,1990,0,1,Bombardeamento             ,TargetType,Forças Militares            ,Pessoal Militar                                ,Irish Republican Army (IRA)                       ,0,1
United Kingdom      ,1990,1,1,Bombardeamento             ,TargetType,Negócios                 ,Entretenimento         ,Irish Republican Army (IRA)                       ,0,0
United Kingdom      ,1990,1,1,Assassinato                 ,TargetType,Policia              ,Agentes da Policia                      ,Irish Republican Army (IRA)                       ,1,0
United Kingdom      ,1990,0,1,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Monumento           ,Irish Republican Army (IRA)                       ,0,0
Spain               ,1990,1,1,Bombardeamento             ,TargetType,Negócios                 ,Lojistas                                            ,Basque Fatherland and Freedom (ETA)               ,0,0
